200,B08CNNBD89,"Lenovo ThinkPad E15 Home and Business Laptop (Intel i7-10510U 4-Core, 16GB RAM, 512GB PCIe SSD, Intel UHD Graphics, 15.6"" Full HD (1920x1080), Fingerprint, WiFi, Bluetooth, Win 10 Pro) with USB Hub",,"July 9, 2020",15.6 Inches,1920 x 1080 pixels,1920 x 1080,1.8 GHz core_i7,16 GB SO-DIMM,1.8 GHz,512 GB SSD,Intel UHD Graphics,Intel,Integrated,Bluetooth,2,,Lenovo,ThinkPad E15,,PC,Windows 10 Pro,3.75 pounds,15 x 10 x 1 inches,,Core-i7,Intel,4,DDR4 SDRAM,512 GB,USB 3.1,No Optical Drive,Battery Powered,1 Lithium Ion batteries required. (included)
200,B0866CZPFZ,"HP 2020 Newest 17.3 Inch Flagship Laptop Computer (8th Gen Intel Core i5-8265U 3.9GHz, 16GB RAM, 512GB SSD, Intel HD 620, WiFi, Bluetooth, DVD, Windows 10)",,"March 21, 2020",17.3 Inches,1600x900,1600 x 900 Pixels,1.60 Core_i5_3340s,16 GB DDR4,3.9 GHz,512 GB SSD,"Intel HD Graphics 620, Intel UHD Graphics 620",Intel,Integrated,802.11bgn,,,HP,HP_i5_16GB_512GB,17.3_16GB,PC,Windows 10,5.4 pounds,16.3 x 10.7 x 1 inches,,Black,Intel,4,DDR4 SDRAM,512 GB,Solid State,,AC & Battery,1 Lithium Ion batteries required. (included)
200,B09DSLYSF6,"2021 HP 15.6inch FHD Thin and Light Laptop, AMD Ryzen 5 5500U 6-core Processor, 8GB RAM, 256GB SSD, HDMI, WiFi, Bluetooth, Webcam, Windows 10 Home, Silver, W/ IFT 32GB Flash Drive 15-Ryzen 5-5500",$499.00,"August 27, 2021",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.1 GHz ryzen_5,8 GB DDR4,2400 MHz,256 GB SSD,AMD Radeon Graphics,AMD,Integrated,802.11a/b/g/n/ac,3,9 Hours,HP,15-ryzen5-5500,15-Ryzen 5-5500,PC,Windows 10 Home,4.2 pounds,13.8 x 10 x 0.7 inches,,Silver,AMD,6,DDR4 SDRAM,256 GB,Solid State,No Optical Drive,AC & Battery,1 Lithium Ion batteries required. (included)
200,B0BJBG5VHF,"HP 2022 15.6"" HD Touchscreen Laptop PC Intel 11th Gen 4-Core i5-1135G7 64GB DDR4 RAM 2TB NVMe SSD Intel Iris Xe Graphics Webcam HDMI Fingerprint USB C Windows 10 Pro Silver w/RE 32GB USB 3.0 Drive",,"October 16, 2022",15.6 Inches,1366x768,1366 x 768 Pixels,2.4 GHz core_i5_family,64 GB DDR4,3200 MHz,2 TB SSD,Intel Iris Xe Graphics,Intel,Integrated,801.11ac,3,6 Hours,HP,HP-15-DY200,HP-15-DY200,PC,Windows 10 Pro,7 pounds,14.11 x 8.9 x 0.71 inches,,Silver,Intel,4,DDR4 SDRAM,,Solid State,,AC & Battery,
200,B0B4YS5SZQ,"HP EliteBook 830 G7 13.3"" FHD, Core i7-10610U 1.8GHz, 32GB RAM, 1TB Solid State Drive, Windows 10 Pro 64Bit, CAM, (Windows 11 Compatible), (Renewed)",$599.00,"June 23, 2022",13.3 Inches,,,1.8 GHz core_i7,32 GB,,1 TB SSD,Intel UHD Graphics,,Integrated,,,,HP,,HP EliteBook 830 G7,PC,Windows 10,4.44 pounds,8.05 x 12.12 x 0.71 inches,,,Intel,4,DDR4 SDRAM,,Solid State,,,1 Lithium Ion batteries required.
200,B00NT6L8BW,"HP Beats 15-p071nr Special Edition Laptop, AMD A8-5545M 1.7 GHz Processor, 8GB Ram, Full HD 15.6in Screen, 1TB Hard Drive, AMD 8510G Graphics, DVD Burner, Windows 8.1",,"September 22, 2014",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,2.7 GHz amd_a8,8 GB DDR3L,2.7 GHz,1 TB HDD,AMD Radeon HD 8510G,AMD,Dedicated,"Bluetooth, 802.11b",,4.75 Hours,HP,,15-P071NR,,Windows 8,7 pounds,24 x 4 x 14 inches,,Red,AMD,,,,USB,,Battery Powered,
200,B099NWRJT2,"HP Chromebook 14b Laptop, 11th Gen Intel Core i3-1115G4, 8 GB RAM, 128 GB SSD, 14” HD Anti-Glare Touchscreen, Chrome OS, 720p Webcam and Camera Shutter, Audio by B&O, Backlit Keys (14b-nb0010nr, 2021)",$288.00,"August 15, 2021",14 Inches,,1366 x 768 Pixels,4.1 GHz apple_ci3,8 GB 8 GB DDR4,,128 GB SSD,Intel UHD Graphics 600,Intel,Integrated,"Bluetooth, 802.11ax",4,,HP,HP Chromebook 14b-nb0010nr,14b-nb0010nr,,Chrome OS,3.31 pounds,12.74 x 8.7 x 0.65 inches,,Mineral silver aluminum with a sandblasted finish,Intel,2,DDR4 SDRAM,,Gigabit Ethernet,No Optical Storage Device,Battery Powered,1 Lithium Ion batteries required. (included)
200,B089N61QMJ,"2020 Latest Dell Inspiron 15 5000 5593 Laptop | 15.6"" Full HD 1080p | 10th Gen Intel Core i7-1065G7 | MaxxAudio Pro Backlit KB Fingerprint Win 10 + CUE USB Drive (16GB RAM | 512GB SSD + 1TB HDD)",$899.00,"May 20, 2020",15.6 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,1.3 GHz core_i9,16 GB SDRAM,3.9 GHz,512 GB SSD,Intel Iris Plus Graphics,Intel,Integrated,802.11ac,,,Dell,Dell Inspiron 15 5000 5593,Dell Inspiron 15 5000 5593,PC,Windows 10,4.11 pounds,14.33 x 9.8 x 0.71 inches,,Silver,Intel,4,DDR4 SDRAM,,eSATA,,AC & Battery,1 Lithium Ion batteries required. (included)
200,B0BL1SC2LM,"HP 17 Laptop, 17.3"" HD+ Touchscreen, Intel Core i7-1165G7, 16GB RAM, 512GB SSD, Webcam, HDMI, Backlit Keyboard, Wi-Fi 6, Windows 11 Home, Silver",$941.34,"October 31, 2022",17.3 Inches,,1600 x 900 Pixels,2.8 GHz core_i7_family,16 GB DDR4,,512 GB SSD,Intel Iris Xe Graphics,Intel,Integrated,,,,HP,Notebook,17,PC,Windows 11 Home,8 pounds,15.78 x 10.15 x 0.78 inches,,Silver,Intel,4,DDR4 SDRAM,,PCIE x 4,,AC & Battery,
200,B09TMGYL3H,"HP Pavilion Laptop (2021 Latest Model), 15.6"" FHD Display, Intel Celeron Processor, 16GB DDR4 RAM, 1TB SSD, Online Conferencing, Webcam, HDMI, WiFi, Bluetooth, Windows 10 (Renewed)",$433.29,"February 28, 2022",15.6 Inches,,1920 x 1080 Pixels,2.8 GHz celeron,16 GB DDR4,2.8 GHz,1 TB SSD,Intel UHD Graphics 600,Intel,Integrated,"Bluetooth, 802.11a",,9 Hours,HP,Pavilion,,PC,Windows 10,3.86 pounds,14.11 x 9.53 x 0.78 inches,,Black,Intel,2,DDR4 SDRAM,,Solid State,,"Corded Electric, Battery Powered",
